 regName     Pri_flux       Post_flux
land                            -3.59509 554.59137
L1North                         -2.32799 187.59813
L2Tropical                      -1.06403 227.49078
L3South                         -0.20306 139.50240
Asia                            -1.63347 101.45387
China                           -0.42351  12.45784
NorthAmerica                    -0.52948  76.71889
Europe                          -0.42765  34.95454
SouthAmerica                    -0.37757 131.65482
Africa                          -0.56927 183.72769
Oceania                         -0.05764  26.08148
Tropics                         -1.12435 228.00148
TropicalSouthAmerica            -0.18198  28.58452
TropicalAsia                    -0.32652  25.93689
TropicalAfrica                  -0.61585 173.48004
NorthernAfrica                  -0.20687  94.06921
SouthernAfrica                  -0.36240  89.65848
TemperateAsia                   -0.56984  32.29461
BorealAsia                      -0.73712  43.22237
AsiaN                           -0.91117  50.03261
AsiaS                           -0.72230  51.42126
AsiaNW                          -0.46321  30.03888
AsiaNE                          -0.44796  19.99373
AsiaSW                          -0.22561  26.43353
AsiaSE                          -0.49669  24.98774
NorthAmericaN                   -0.32907  21.41162
NorthAmericaS                   -0.20041  55.30726
NorthAmericaNW                  -0.12712   3.92960
NorthAmericaNE                  -0.20195  17.48202
NorthAmericaSW                  -0.09337   8.99121
NorthAmericaSE                  -0.10705  46.31606
EuropeW                         -0.04337  19.45682
EuropeE                         -0.38428  15.49773
EuropeSW                        -0.01185  13.37404
EuropeC                         -0.03152   6.08278
EuropeNN                        -0.09084   0.67614
EuropeEE                        -0.29344  14.82159
SouthAmericaN                   -0.18254  27.15956
SouthAmericaS                   -0.19503 104.49525
SouthAmericaNW                  -0.11639   8.20263
SouthAmericaC                   -0.06615  18.95693
SouthAmericaEE                  -0.03636  69.43172
SouthAmericaSS                  -0.15868  35.06354
AfricaN                         -0.54581 114.30576
AfricaS                         -0.02346  69.42192
AfricaNN                        -0.20384  92.74723
AfricaNC                        -0.33893  20.23656
AfricaSC                        -0.07308  60.49626
AfricaSS                         0.04962   8.92566
OceaniaW                        -0.00053  15.14076
OceaniaE                        -0.05711  10.94072
R1                              -0.07174   2.60699
R2                              -0.00356   0.63037
R3                              -0.07611   3.14470
R4                              -0.12584  14.33732
R5                               0.00517   1.57388
R6                              -0.02048   7.74789
R7                              -0.00734  14.31815
R8                              -0.02018   2.05514
R9                              -0.04922   1.52149
R10                             -0.03000  22.72853
R11                             -0.05183   0.69224
R12                             -0.07891   3.93723
R13                              0.00056   1.42496
R14                             -0.11639   8.20263
R15                             -0.06615  18.95693
R16                             -0.03636  69.43172
R17                             -0.14004  33.20955
R18                             -0.01864   1.85399
R19                             -0.09084   0.67614
R20                             -0.02172   1.70634
R21                             -0.00979   4.37644
R22                             -0.29344  14.82159
R23                             -0.42761  28.32886
R24                             -0.30951  14.89351
R25                              0.00295   9.78278
R26                             -0.01481   3.59126
R27                             -0.03696   3.27053
R28                             -0.00303   1.32198
R29                             -0.20384  92.74723
R30                             -0.33893  20.23656
R31                             -0.07308  60.49626
R32                              0.04962   8.92566
R33                             -0.03010   1.01928
R34                             -0.00839   0.11172
R35                             -0.01437   0.11224
R36                              0.01535   0.27152
R37                             -0.01246   0.30750
R38                             -0.04730   2.07006
R39                             -0.04170   3.44158
R40                             -0.05571   1.40498
R41                             -0.03704   0.59614
R42                             -0.08925   2.28962
R43                             -0.07973   1.83726
R44                             -0.06031   0.51069
R45                             -0.03544   1.62518
R46                             -0.09673  13.93700
R47                             -0.03585   5.67217
R48                             -0.04893  10.59126
R49                             -0.18142   9.16277
R50                             -0.00053  15.14076
R51                             -0.05711  10.94072
USA                             -0.17389  50.63731
European                        -0.13421  20.13295
Canada                          -0.27724  20.71939
Russia                          -1.03056  58.04396
India                           -0.13258  19.60918
Brazil                          -0.10250  88.38864
